,id,comments,n_comments
900,484008669,"Only backers can post comments. Log in
No comments yet.",0
901,1056497375,"Only backers can post comments. Log in
No comments yet.",0
902,1274435268,"Only backers can post comments. Log in
No comments yet.",0
903,1832944400,"Only backers can post comments. Log in
No comments yet.",0
904,1740992272,"Only backers can post comments. Log in
No comments yet.",0
905,987040778,"Only backers can post comments. Log in
Marko Borko and Andrej GlažarCreator
almost 5 years ago
Dear Backers!
Please send us personal email on info@kefirko.com if you didn't receive your Kefirko yet.
Thank you all,
Best regards,
Marko
Tara SahaSuperbacker
almost 5 years ago
when are we supposed to get our order?
Emma Heffernan
about 5 years ago
Hello, I am a backer of this project and I am yet to receive my order. Any updates please?
John Yoo
about 5 years ago
I paid for shipping but have not received her canyon pleas update thank you
Margaret Monaco
about 5 years ago
My Kefirko has not been delivered as of December 31st. Do you need an update on my address? Let me know.
Taylor
about 5 years ago
It is December 29th and I am still waiting. I have not received a reply to my requests.
mjlassila
about 5 years ago
My Kefirko hasn't arrived either.
Taylor
over 5 years ago
I am also waiting for mine to arrive.
Annette Perry
over 5 years ago
Kefirko is brilliant. So easy to use.
I am using it to make Caspian Sea heritage yoghurt & there's nothing to do. Just put 2 Tsp of yoghurt in the jar, fill to the top mark & leave on the kitchen bench overnight with the top lid slightly open. All done- beautiful, healthy, creamy yoghurt.
Bravo.
John Yoo
over 5 years ago
Where is mine? I'd like a refund
Anderson F Pereira
over 5 years ago
Hello people!
Just want to say hello and ask about some date, or some info, about it! :)
Cya!
Imanol Nebreda
over 5 years ago
I'm still waiting for mine to arrive. Any update on the shipping status would be very much appreciated! :)
Melissa Chapin
over 5 years ago
I have not received mine either. I did respond to the shipping survey long ago. Please advise.
Marko Borko and Andrej GlažarCreator
over 5 years ago
@JanW
You can try also to prepare your kefir with different types of milk. If you want to have your kefir without any bitterness at all you'll have to care that you don't have to much grains inside and that you don't ferment longer than 24h. At least that kefir and whey don't start separate...
J Law
over 5 years ago
Hello~ I'm just wondering what is the status on my kefirko? :) still haven't received my product ~
JanW
over 5 years ago
Thanks for the reply! I noticed that the Kefir I produce was improving in taste and fermentation is gradually becoming more efficient. The amount of grains I have can now ferment a full batch of milk in 24h, rather than 2/3 of a batch as was the case a few days ago. I still have a long way to go, it seems, to reach the recommended ratio between grains and milk. I'll keep trying.
Hopefully the bitter taste, which has already improved a lot, will eventually go away, too. Is there anything special they do with the commercial Kefir for it to not have any bitterness at all?
Marko Borko and Andrej GlažarCreator
over 5 years ago
@JanW
Kefir grains needs activation on the beginning. Specially if they were stored in fridge for a while.
So you have to change them milk few times before they are active again.
JanW
over 5 years ago
Hi all,
I have a question about the quantity of kefir grains I should use. If I understood correctly, the instructions that came with the Kefirko say to fill the small measuring container in the lid for a full batch of milk kefir (Kefirko filled up to the second mark). I tried that, and nothing happened. I gradually increased the amount of grains, and am now using about 1/2 cup of grains for a 2/3 filled Kefirko. That's many times the recommended amount of grains. Is anyone else experiencing this?
tigermama
over 5 years ago
Hi, may I know when can I receive the kefirko? Thanks.
YoloSuperbacker
over 5 years ago
has anyone tried ordering grains from amazon UK??
got my kefirko but now hunting for grains :P
Joy Conlon Zelmanovich
over 5 years ago
Love my new kefirko which arrived in perfect shape to Arizona USA. I'm back to making water kefir daily because you have made it so easy. I'm here to order two more for sprouting and dairy kefir so I can have them all going at once for my kefir loving kids. Thanks for making it so easy!
Cyndi Cheng
over 5 years ago
I had a May delivery date with shipping to Canada and I still haven't received it... How do we know if we were supposed to be part of the shipment?
Juli
over 5 years ago
mine arrived well but where do I get the grains from now..? kefirhood seems kinda dead :(
Firestarter
over 5 years ago
@Creater Thanks, I got mine safe and sound. Gotta start looking for kefir grains now.
Best
Jay
Beezhan Tulu
over 5 years ago
@ CREATOR ... I did receive mine and it is safe and sound and I love it.
Thanks.
Best
Beezhan Tulu
Showing 25 of 141 comments
Load more",140
906,1083248160,"Only backers can post comments. Log in
Natasha MarsonCreator
over 4 years ago
Thank you, Aaron, for your support and believing in my project !
Best wishes from creator to creator!",1
907,467890142,"Only backers can post comments. Log in
No comments yet.",0
908,758996342,"Only backers can post comments. Log in
Brian Cypher
almost 6 years ago
Have a great trip and a wonderful experience Andrew! Glad we could help you out!
Mark Brosseau
almost 6 years ago
Woot! Go Andrew!",2
909,376388332,"Only backers can post comments. Log in
Jonathan Hayes
over 6 years ago
Thank you, Richard! Just don't push yourself too hard to get these finished. I'm in no rush, just always happy to see something new from your brush. :)
Richard Thomas ScottCreator
over 6 years ago
Hi Jonathan,
I do apologize as I've been absolutely swamped. But, I haven't forgotten and I'm definitely doing your steampunk Vermeer! No worries.
Jonathan Hayes
almost 7 years ago
I can hardly contain my excitement at the thought of seeing and getting the steampunk Vermeer!!! As well as the rest of what you've been working on...
Best,
Jon
Richard Thomas ScottCreator
almost 7 years ago
Hi Jonathan, I'm about halfway through the 12x16's. It was difficult choosing between all the great ideas, but one of them will definitely be ""Steampunk Vermeer"", another, the flooded interior. I'll post some sneak peak detail shots when I get a little further along!
Thanks again!
Jonathan Hayes
almost 7 years ago
Hi Richard, just wondering how the 12x16's were progressing and if we may have a sneak peak or know which ideas you selected for the larger size?
Jonathan Hayes
almost 7 years ago
Sent you a personal message, but also wanted to thank you here so very much for your undertaking and holding fast to this difficult project! I will care for and cherish that painting as long as I'm here! It is such a unique and beautifully executed painting...
Andrew Holt
almost 7 years ago
My painting arrived today and I am utterly astonished at how beautiful she is. I can not thank you enough for such a work, Richard! She will be cared well for and very appreciated.
Richard Thomas ScottCreator
almost 7 years ago
Hi Everyone,
Please excuse my delayed response. I've responded to some of you individually, but have been in Atlanta due to a family illness. However, I am back at the studio and am sending out a batch of the paintings tomorrow morning. Thank you again for your support and thanks for your patience!
Hector Hernandez
almost 7 years ago
Hello,
I did a kickstarter but managed in it a different way and with luck didnt receive so many backers. I understand that your saturated with this work and I am sure other works. I dont want to cancel my order but I am just curious to know if your even still working on this? Should we cancel our order.
Jonathan Hayes
almost 7 years ago
Daron, have you received anything yet?
Jonathan Hayes
almost 7 years ago
I have not received my painting either. I know that I included the cost of shipping in my pledge. Please let me know if it has been shipped and if so the address and tracking number.
Daron McAfee
almost 7 years ago
I still haven't received my painting and wondering what the status is?
I have sent several messages with no response. I've asked friends who are also backers of this project if they had heard/received anything and they had.
I'm heading out of town soon and need to know when to expect it based on that.
Please let me know.
Thanks
Steven DaLuz
about 7 years ago
Great seeing you at TRAC, Richard--thoroughly enjoyed your talk.! My piece is ""Venus Rising"". Have a great rest of the week!
Jonathan Hayes
about 7 years ago
Hi Richard,
Just checking in to see how this project is going?
Andrew Holt
about 7 years ago
Richard,
How is the Ad-Lib Art Project progressing now?
(I'll be looking forward to seeing your work on Craftsy in the future!)
Daron McAfee
about 7 years ago
Curious to know when I might receive my painting?
Todd Alexander
about 7 years ago
Richard? Richard?? :)
Jonathan Hayes
about 7 years ago
Happy New Year, Richard! (I'll probably be painting myself...cheers)
Richard Thomas ScottCreator
about 7 years ago
Happy New Year!
Richard Thomas ScottCreator
about 7 years ago
Bob, so am I!
Richard Thomas ScottCreator
about 7 years ago
Thank you Laurie! It's been inspiring for me as well.
Bob Lazell
about 7 years ago
just want to mention that I'm in pitch withdrawal.
Laurie Pace
about 7 years ago
Richard, This has been an inspiring journey with a short 'glimpse' into you and your work. Amazing.
Richard Thomas ScottCreator
about 7 years ago
I want to thank all of you for your support, your inspiring ideas, and for being a part of this experimental project! Ad Lib Art: Painting as Improv is officially funded. We've made it a stunning success, raising nearly twice as much as our goal!
From the beginning I knew I couldn't do it without you. But, I had underestimated both how incredibly challenging this project was and how supportive you all would be. Your daily comments, ideas, and words of encouragement truly sustained me through this trying endeavor! In terms of creative collaboration, and making original paintings available to you guys and gals who truly love art, this has been far more successful than I had envisioned!
Thank you again, and stay tuned for the continuing updates as I finish the rest of the paintings!
Karl Saliter
about 7 years ago
Congratulations Richard. I suggest an image involving a floating mandolin. Beautiful project: enjoy the work. ~ K
Showing 25 of 198 comments
Load more",198
