,faq,num_faq
0,['   '],0
1,['   '],0
2,['   '],0
3,['   '],0
4,['   '],0
5,['   '],0
6,['   '],0
7,['   '],0
8,['   '],0
9,['   '],0
10,['   '],0
11,['   '],0
12,"["" What happens to my pledge if you don't meet your pledge goal? Nobody is charged until the end of the campaign and if and only if the pledge goal is met. Wed, Mar 9 2016 2:20 am EST ?  ""]",1
13,['   '],0
14,['   '],0
15,"["" Who, or What is Razroo? Razroo is a software consulting company(https://www.linkedin.com/company/razroo) based out of NYC. It was started by Charlie Greenman(https://linkedin.com/in/charliegreenman/). Right now the firm isn't too large, and employs about 4-5 part timers. Collectively, we have experience working for Fortune 500 companies, such as Goldman Sachs, Verizon, and Merrill Corporation. We have one product on the way, as well as one book. Both of which will be complete by December 2020. We are trying to establish a very strong open source presence within the community, and this Kickstarter helps contribute to that cause. Fri, Aug 9 2019 8:11 am EDT ?  ""]",1
16,['   '],0
17,['   '],0
18,['   '],0
19,['   '],0
20,"[' What file formats can I export from Block Modeller? We currently support exporting FBX and STL.  FBX is a general purpose file format used in many Graphics packages.  STL is used primarly for 3D printing. Tue, Feb 14 2017 5:09 am EST How does it work? You are given a 3D workspace, a cursor, and a palette.  You can move the cursor within the 3D workspace.  To place a block you move the cursor where you want it, and press space.  Press delete to remove.  The palette lets you pick what shape, color and texture you want to put down. Tue, Feb 14 2017 5:17 am EST How does it compare with existing 3D Modellers? The main problem is converting an idea in your head into a visual 3D representation.  The tools vary from low cost applications like Blender, to high end systems like 3D Studio, Maya, and others.  All of them require a fair amount of skill to use.  Block Modeller is low cost, and easy to use.  Playing with toy bricks easy. Tue, Feb 14 2017 5:20 am EST ?  ']",3
21,['   '],0
22,['   '],0
23,['   '],0
24,['   '],0
25,['   '],0
26,['   '],0
27,['   '],0
28,"["" When will an iOS Demo be Released? Hopefully mid-campaign. To release an iOS demo, I'd have to get a macbook, which is what a large portion of this campaign funds. If the campaign does well enough, I can get one before the campaign ends. An iOS demo will be released via Apple's TestFlight program. Sat, Nov 30 2019 1:38 pm EST ?  ""]",1
29,['   '],0
30,"[' I preordered a Hinata pin back in July! Can I combine my order with my KS reward? (Please note that if you combine these orders, your order will now follow the timeline of the kickstarter) Sat, Aug 15 2020 8:21 pm EDT ?  ']",1
31,['   '],0
32,['   '],0
33,['   '],0
34,['   '],0
35,['   '],0
36,['   '],0
37,['   '],0
38,['   '],0
39,"["" How can I pledge to receive more than one copy of the game? I have added two bundle options, allowing to pledge for multiple copies of the game. If you would like to pledge for more than two, please contact me directly. All backers who pledge for either bundle pack are eligible to choose between white or grey when the campaign ends. The choice will be available on the backer survey. Fri, Oct 19 2018 11:37 pm EDT When backing at the $249 tier, will all the cartridges include the 5 backers names in the credits, or will only those 5 cartridges have custom text? Why not both? When backing at the $249 level, your name will be included in the game credits listed at the title in all versions, along with a message of your choice that will only be included on your personal cartridge. If you'd prefer to keep your name out of the credits, that's fine too. It's all up to you! Fri, Oct 19 2018 11:37 pm EDT How can I get the vinyl soundtrack if I've pledged for the special edition clear cartridge? All special edition tiers will include the CD soundtrack. If you'd like to upgrade to vinyl, please add $30 to your pledge. Fri, Nov 2 2018 8:26 am EDT ?  ""]",3
40,"["" Will the spindle get hot and damage my machine? NO .... The print-head assembly was specifically designed to keep the spindle cool to protect your bearings; typically under 50 degree C during printing (just warm to the touch, not hot at all). Your spindle gets much hotter when you are using it for milling. Tue, Sep 15 2015 2:32 pm EDT Will using my CNC for printing wear out my lead screws? With care, it shouldn't. We've run ours for hundreds of hours with no problems. We even run extremely long print jobs of over 40 hours. Typical print times are in the 20 minutes to 5 hours range. We keep our machines well oiled, which you should do anyway, so with proper care and maintenance you should be fine. Tue, Sep 15 2015 2:32 pm EDT ?  ""]",2
41,['   '],0
42,['   '],0
43,['   '],0
44,['   '],0
45,['   '],0
46,['   '],0
47,['   '],0
48,['   '],0
49,['   '],0
50,['   '],0
51,['   '],0
52,['   '],0
53,['   '],0
54,['   '],0
55,['   '],0
