,id,faq,num_faq
0,1662798399,['   '],0
1,1316288919,['   '],0
2,818890122,['   '],0
3,1934517401,['   '],0
4,1449353867,['   '],0
5,2060806280,['   '],0
6,359411047,['   '],0
7,15031726,['   '],0
8,1601968864,['   '],0
9,1162663059,['   '],0
10,906477612,['   '],0
11,1177221773,['   '],0
12,603626833,"["" What happens to my pledge if you don't meet your pledge goal? Nobody is charged until the end of the campaign and if and only if the pledge goal is met. Wed, Mar 9 2016 2:20 am EST ?  ""]",1
13,1179056219,['   '],0
14,1634631445,['   '],0
15,287419192,"["" Who, or What is Razroo? Razroo is a software consulting company(https://www.linkedin.com/company/razroo) based out of NYC. It was started by Charlie Greenman(https://linkedin.com/in/charliegreenman/). Right now the firm isn't too large, and employs about 4-5 part timers. Collectively, we have experience working for Fortune 500 companies, such as Goldman Sachs, Verizon, and Merrill Corporation. We have one product on the way, as well as one book. Both of which will be complete by December 2020. We are trying to establish a very strong open source presence within the community, and this Kickstarter helps contribute to that cause. Fri, Aug 9 2019 8:11 am EDT ?  ""]",1
16,1253128360,['   '],0
17,823851495,['   '],0
18,1848243969,['   '],0
19,443011868,['   '],0
20,426279405,"[' What file formats can I export from Block Modeller? We currently support exporting FBX and STL.  FBX is a general purpose file format used in many Graphics packages.  STL is used primarly for 3D printing. Tue, Feb 14 2017 5:09 am EST How does it work? You are given a 3D workspace, a cursor, and a palette.  You can move the cursor within the 3D workspace.  To place a block you move the cursor where you want it, and press space.  Press delete to remove.  The palette lets you pick what shape, color and texture you want to put down. Tue, Feb 14 2017 5:17 am EST How does it compare with existing 3D Modellers? The main problem is converting an idea in your head into a visual 3D representation.  The tools vary from low cost applications like Blender, to high end systems like 3D Studio, Maya, and others.  All of them require a fair amount of skill to use.  Block Modeller is low cost, and easy to use.  Playing with toy bricks easy. Tue, Feb 14 2017 5:20 am EST ?  ']",3
21,1067815082,['   '],0
22,1068130027,['   '],0
23,464547753,['   '],0
24,1321675143,['   '],0
25,838442720,['   '],0
26,1779537359,['   '],0
27,1851476801,['   '],0
28,323042965,"["" When will an iOS Demo be Released? Hopefully mid-campaign. To release an iOS demo, I'd have to get a macbook, which is what a large portion of this campaign funds. If the campaign does well enough, I can get one before the campaign ends. An iOS demo will be released via Apple's TestFlight program. Sat, Nov 30 2019 1:38 pm EST ?  ""]",1
29,1896303951,['   '],0
30,1741433333,"[' I preordered a Hinata pin back in July! Can I combine my order with my KS reward? (Please note that if you combine these orders, your order will now follow the timeline of the kickstarter) Sat, Aug 15 2020 8:21 pm EDT ?  ']",1
31,471979610,['   '],0
32,621663488,['   '],0
33,1080988650,['   '],0
34,311581827,['   '],0
35,410808756,['   '],0
36,1496879996,['   '],0
37,1940178285,['   '],0
38,1991694596,['   '],0
39,221125675,"["" How can I pledge to receive more than one copy of the game? I have added two bundle options, allowing to pledge for multiple copies of the game. If you would like to pledge for more than two, please contact me directly. All backers who pledge for either bundle pack are eligible to choose between white or grey when the campaign ends. The choice will be available on the backer survey. Fri, Oct 19 2018 11:37 pm EDT When backing at the $249 tier, will all the cartridges include the 5 backers names in the credits, or will only those 5 cartridges have custom text? Why not both? When backing at the $249 level, your name will be included in the game credits listed at the title in all versions, along with a message of your choice that will only be included on your personal cartridge. If you'd prefer to keep your name out of the credits, that's fine too. It's all up to you! Fri, Oct 19 2018 11:37 pm EDT How can I get the vinyl soundtrack if I've pledged for the special edition clear cartridge? All special edition tiers will include the CD soundtrack. If you'd like to upgrade to vinyl, please add $30 to your pledge. Fri, Nov 2 2018 8:26 am EDT ?  ""]",3
40,101082624,"["" Will the spindle get hot and damage my machine? NO .... The print-head assembly was specifically designed to keep the spindle cool to protect your bearings; typically under 50 degree C during printing (just warm to the touch, not hot at all). Your spindle gets much hotter when you are using it for milling. Tue, Sep 15 2015 2:32 pm EDT Will using my CNC for printing wear out my lead screws? With care, it shouldn't. We've run ours for hundreds of hours with no problems. We even run extremely long print jobs of over 40 hours. Typical print times are in the 20 minutes to 5 hours range. We keep our machines well oiled, which you should do anyway, so with proper care and maintenance you should be fine. Tue, Sep 15 2015 2:32 pm EDT ?  ""]",2
41,699264302,['   '],0
42,555535856,['   '],0
43,191370364,['   '],0
44,861066176,['   '],0
45,1039354774,['   '],0
46,1596017030,['   '],0
47,1584038140,['   '],0
48,1260612280,['   '],0
49,298469838,['   '],0
50,1310037208,['   '],0
51,1974534412,['   '],0
52,1056382966,['   '],0
53,1727715906,['   '],0
54,2327174,['   '],0
55,1691646135,['   '],0
56,1120197995,"["" What operating systems will the game be on? Will it be available on mobile? Consoles? The finished game will be available on Windows, Mac, and Linux. Android and iOS are a high possibility and I'm hoping I'll be able to look into porting the game to mobile devices when its ready for release. As for consoles, the engine I'm using currently doesn't support console porting so it'll be far into the future if MWDH comes to consoles. Wed, Jul 4 2018 8:51 pm EDT Will the game be available in other languages? The game is being written in English and will be released in English. I may look into translating the game into other languages (such as Spanish and French) after it is finished if there's enough interest so fingers crossed. Wed, Jul 4 2018 8:51 pm EDT How much will the full game cost upon release? Where will it be available for download? The DX version will be 15 USD when it's released! It'll be available on itch and Steam! Tue, Jul 10 2018 10:50 am EDT Does this game have adult content? What age rating is the game? MWDH is recommended for audiences of 14+ for swearing in some of the villains dialogue, blood, and violence. There is no sexual content in the game and romance does not go further than kissing. Tue, Jul 10 2018 10:50 am EDT Why is this character Free-To-play and the others Deluxe only? Sophie, Ethan, and Zacharie were picked to be the F2P characters because they're will be the easiest to pursue! All three of them already have interest in Val from the very beginning. It also is a nice balance, A girl, a boy, and an NB love interest! Tue, Jul 10 2018 10:50 am EDT ?  ""]",5
57,570540023,['   '],0
58,446014821,"[' Can a keyboard & mouse be used instead of a controller? The game currently does not support keyboard or mouse but it will by the time we ship. Fri, Feb 3 2017 8:50 pm EST How to Report Bugs We will be selecting a number of you to help us after this campaign. That means we’ll make the game available to you right away. Fraps allows you to take movies and screenshots while playing, which is important for us so we can understand what the issues is. This happens 100% of the time (unless the AI is calling a regular or Dirty Trick play) Tue, Feb 7 2017 9:58 pm EST How do I enter my steam code? Step 1: Launch Steam and Log in. If you don\'t have an existing Steam account, you will need to create one. Step 2: From the Steam Dashboard, click the ""Games"" tab at the top, then click the ""Activate a product on Steam..."" button at the bottom. Step 3: Enter your unique PROMOTIONAL CODE in the Product Code field. Sat, Feb 11 2017 3:45 pm EST Mu DualShock 4 Controller is not working on my PC? Look at this article to insure your DualShock 4 Controller will work on PC / Steam https://www.howtogeek.com/240152/how-to-use-a-playstation-4s-dualshock-4-controller-for-pc-gaming/ Sun, Feb 19 2017 8:02 am EST ?  ']",4
59,1710937892,['   '],0
60,1801789043,['   '],0
61,933862915,['   '],0
62,19832167,['   '],0
63,1015804153,['   '],0
64,1017804011,['   '],0
65,796734816,['   '],0
66,1912579093,['   '],0
67,261762919,['   '],0
68,1186098819,['   '],0
69,1219672730,['   '],0
70,655912654,['   '],0
71,1615932742,['   '],0
72,1529530043,['   '],0
73,1785298987,['   '],0
74,1790915356,['   '],0
75,1391108073,['   '],0
76,1668405318,['   '],0
