,index,faq
0,200,['   ']
1,201,['   ']
2,202,['   ']
3,203,['   ']
4,204,['   ']
5,205,['   ']
6,206,['   ']
7,207,['   ']
8,208,['   ']
9,209,['   ']
10,210,['   ']
11,211,['   ']
12,212,['   ']
13,213,['   ']
14,214,['   ']
15,215,"[' How do I find your website and Facebook page? gregorianrock.com - the site is ready for the music (and video) to be posted as soon as it\'s ready facebook.com/gregorian.rock - will get you to the Facebook page. twitter.com/cantusnovus - gets you to the Twitter page (cantus novus is Latin for ""new music"") Sat, Jun 29 2013 8:16 pm EDT ?  ']"
16,216,['   ']
17,217,['   ']
18,218,['   ']
19,219,['   ']
20,220,['   ']
21,221,['   ']
22,222,['   ']
23,223,['   ']
24,224,"["" Most of the Print reward tiers do not include the pdf version, what if I want to add a digital copy of Between Worlds to my selected reward? Easy! Just add an extra £5 to your pledge to cover the PDF and either send me a message or let me know when the backer surveys go out and I'll add the PDF to your reward! Mon, Nov 5 2018 11:35 am EST ?  ""]"
25,225,['   ']
26,226,['   ']
27,227,['   ']
28,228,['   ']
29,229,['   ']
30,230,['   ']
31,231,['   ']
32,232,['   ']
33,233,['   ']
34,234,['   ']
35,235,['   ']
36,236,['   ']
37,237,['   ']
38,238,['   ']
39,239,['   ']
40,240,['   ']
41,241,['   ']
42,242,['   ']
43,243,['   ']
44,244,['   ']
45,245,['   ']
46,246,['   ']
47,247,['   ']
48,248,['   ']
49,249,['   ']
50,250,['   ']
51,251,['   ']
52,252,['   ']
53,253,['   ']
54,254,"["" Can I add more to my rewards in the survey? Yes, we'll be using Backerkit to fulfill the surveys and you'll be able to add extra refill books, pencils, clips, or even extra wallets to your order. Thu, Sep 24 2020 8:33 pm EDT ?  ""]"
55,255,['   ']
56,256,['   ']
57,257,"[' How do I add pins to my pledge? If you are a normal backer and didn\'t get a early bird reward you can just upgrade your tier by: Selecting ""Manage my Pledge"" and clicking ""Upgrade my Pledge"" you then just need to select the tier you want. For Early Bird Backers you get any additional pins at the discounted price of £7. So you Select ""Manage my Pledge"" and choose ""Change my pledge"" where you add on £7 for each additional pin you want. Fri, Aug 21 2020 10:35 am EDT How do I get Tracked Shipping? You can add tracked shipping to your pledges by adding the amount below to your pledge depending on the country the pin will be shipped to. How to update your pledge for shipping - Select Manage Pledge > Select the three dots in the top right corner > Update pledge > add the correct amount to your pledge. For example if you are a UK backer the total will be £8 for the normal pin tier + £2 normal delivery + £1 for tracked shipping Fri, Aug 21 2020 10:35 am EDT Why do I have to make an account to get a pin? It is for security of payment as well as allowing backers to receive pin updates and answer a survey sent out at the end of the campaign asking for addresses. Fri, Aug 21 2020 10:37 am EDT ?  ']"
58,258,['   ']
59,259,['   ']
60,260,['   ']
61,261,['   ']
62,262,['   ']
63,263,['   ']
64,264,['   ']
65,265,['   ']
66,266,['   ']
67,267,"[' Who Are You? Zachary Santos, a.k.a. Zach and called Santos to my 2 best friends. Thu, Nov 9 2017 9:52 pm EST Where Did You attend University? Pursued Music Production and Sound Design for Visual Media Thu, Nov 9 2017 9:52 pm EST How Do I Know this is Real? pinch yourself and click your heals repeating ""there is no place like home"" Thu, Nov 9 2017 9:52 pm EST What do you do professionally? Music among other odd jobs here and there. Thu, Nov 9 2017 9:52 pm EST Where did you grow up? This awesome town in Contra Costa County called Pittsburg, CA. Not to be confused with the east coast. P-WORLD! Thu, Nov 9 2017 9:52 pm EST Where were you born? Oakland! From the Bay to LA to LAS VEGAS!!! Sorry... the bay in me just comes out sometimes. Thu, Nov 9 2017 9:52 pm EST ?  ']"
68,268,['   ']
69,269,['   ']
70,270,['   ']
71,271,['   ']
72,272,['   ']
73,273,['   ']
74,274,['   ']
75,275,['   ']
76,276,['   ']
77,277,['   ']
78,278,['   ']
79,279,['   ']
80,280,['   ']
81,281,['   ']
82,282,['   ']
83,283,['   ']
84,284,['   ']
85,285,['   ']
86,286,['   ']
87,287,['   ']
88,288,['   ']
89,289,['   ']
90,290,['   ']
91,291,['   ']
92,292,['   ']
93,293,['   ']
94,294,['   ']
95,295,['   ']
96,296,['   ']
97,297,"[' When will Tapshot be released? No firm release date has been set, although we are targeting mid June 2014. Wed, Nov 13 2013 3:47 am EST What platforms will Tapshot available on? Initially iOS and Android, with the view to look at Blackberry 10 after launch. Wed, Nov 13 2013 3:51 am EST Will this be translated into other languages? Yes! More details coming soon. Feel free to request a language... Wed, Nov 13 2013 3:51 am EST ?  ']"
98,298,['   ']
99,299,['   ']
100,300,['   ']
101,301,['   ']
102,302,['   ']
103,303,['   ']
104,304,['   ']
105,305,['   ']
106,306,['   ']
107,307,['   ']
108,308,['   ']
109,309,['   ']
110,310,['   ']
111,311,['   ']
112,312,['   ']
113,313,['   ']
114,314,['   ']
115,315,['   ']
116,316,"["" Will the Graïnne Cover Variant be available after Kickstarter? Wed, Sep 13 2017 7:32 pm EDT What happens when the project ends? Kickstarter takes 2 weeks before sending the funds to me. Then I can pay the printer, send the files over to them and we begin the manufacturing process. Wed, Sep 13 2017 7:32 pm EDT When will Authorities That Be be shipped? According to the KrakenPrint estimate and with a little bit of buffer for unexpected delays, we’re looking at February 2018 for the arrival of the books to your homes. Wed, Sep 13 2017 7:32 pm EDT Why is shipping Authorities That Be so expensive outside of the US? This thick and bootyful book is estimated to weigh between 2 and 2.5 lbs and that is expensive to ship. We're staying on the safe side. Wed, Sep 13 2017 7:32 pm EDT Does Authorities That Be come in another language? The book only comes in English as of now because printing in another language means printing a whole other book. Fortunately, the comic is translated to French and you will be able to choose between English and French for all your PDF files. FR: La BD n'est imprimée qu'en Anglais pour le moment parce que ça coûterait double de l'imprimer dans une autre langue. Heureusement, la BD est traduite et tous vos PDF viennent en Français aussi! Wed, Sep 13 2017 7:32 pm EDT Can we order more than one book? Fri, Oct 13 2017 7:54 pm EDT Can I get both covers? 10/13 Update: Yes. You can add the other cover to your pledge in the final survey at the end of the campaign! Fri, Oct 13 2017 7:54 pm EDT Can I get both French and English PDFs? You will be asked in a survey at the end of the campaign in which language you prefer to receive your PDFs. If you wish to receive both, answering with no preference will get you both languages. Thu, Sep 21 2017 11:04 pm EDT Does the Private Commission get featured into the book? No. The private commissions will be completed after I’ve sent all the files to the printer and will have nothing to do with the actual book. The commissions can also be any subject. Fri, Sep 29 2017 7:38 am EDT How can I get in the book? You cannot be into this first book as it is already finished but you can take the Immortal Cameo Reward to become a detailed background character into the next book! This reward is very limited. Available while it lasts. Fri, Sep 29 2017 7:38 am EDT How many characters can I ask for in the Private Commission? There is a limit of three. Extra characters will require extra costs if you wish to add more of them, which we can agree upon after the campaign is over. Fri, Sep 29 2017 7:38 am EDT Can I get a private commission from you outside of Kickstarter? Fri, Sep 29 2017 7:38 am EDT How large can we ask the printing file to be for a Private Commission? The maximum on the largest side would be 32 inches. Keep in mind that the largest the file, the longer it will take to complete the art. TAKE NOTE: Requesting a large artwork in combination with a tight deadline will result in an extra charge. Sat, Sep 30 2017 7:14 pm EDT How soon can I get the Private Commission done? If you have a deadline for your commission, make sure to let me know as soon as the campaign is over. Also have any reference ready for me when we start to speed-up the process (for example, photos of your wife or pet) and clearly state what you want. Visuals examples are great. If all communication is quick and efficient on your part, I can push the artwork within a couple of weeks. Have a clear idea in mind. Prepare before we start so I can jump right into painting. Sat, Sep 30 2017 7:22 pm EDT ?  ""]"
117,317,['   ']
118,318,['   ']
119,319,['   ']
120,320,['   ']
121,321,['   ']
122,322,['   ']
123,323,['   ']
124,324,['   ']
125,325,['   ']
126,326,['   ']
127,327,['   ']
128,328,['   ']
129,329,['   ']
130,330,['   ']
131,331,['   ']
132,332,['   ']
133,333,['   ']
134,334,['   ']
135,335,"[' Do you still get The Heist package if you pledge above $25? All pledges above $25 get the Heist package. Tue, Mar 5 2013 10:15 pm EST What happens if you get more than your $1,500 goal? We keep it. Get rich. Retire young... Not really. We put ALL extra money made into making the Burlesque Party as AWESOME AS HUMANLY POSSIBLE!!! And film our very first music video if possible! Sun, Mar 10 2013 1:33 am EST ?  ']"
136,336,['   ']
137,337,['   ']
138,338,['   ']
139,339,['   ']
140,340,['   ']
141,341,['   ']
142,342,['   ']
143,343,['   ']
144,344,['   ']
145,345,['   ']
146,346,['   ']
147,347,['   ']
148,348,['   ']
149,349,['   ']
150,350,['   ']
151,351,['   ']
152,352,['   ']
153,353,['   ']
154,354,['   ']
155,355,['   ']
156,356,['   ']
157,357,['   ']
158,358,['   ']
159,359,['   ']
160,360,['   ']
161,361,['   ']
162,362,['   ']
163,363,['   ']
164,364,"["" Where are you filming? We're shooting the whole movie in Central Ohio. Mon, Jun 20 2016 5:33 pm EDT Why did you budget so much for flights? We're bringing two people from San Francisco to Ohio. Because we know they are both invaluable to the project, we're actually saving a lot of money by flying them in. They have both agreed to work for generously reduced rates. Mon, Jun 20 2016 5:33 pm EDT ?  ""]"
165,365,['   ']
166,366,"[' Do you have a trailer yet? Sun, May 31 2015 3:18 pm EDT ?  ']"
167,367,"[' How will you use the money raised? The following is a breakdown of our estimated costs. Mon, Dec 19 2016 2:47 pm EST Why should we fund you? We strongly believe that the world needs more African narratives created by Africans. Often, the challenge is not desire, competence or ambition but resources. We have all been doing this work, in different ways (photography, film, art, writing etc.), using our own resources. However, this trip will enable us to bring our efforts together; do this work on a bigger scale; achieve greater impact; and reach a wider audience. We decided to involve you all and demonstrate what can happen when we pool our resources together. Mon, Dec 19 2016 2:48 pm EST Why 10 weeks? In order to create content that is considered and that does justice to every place we visit, we need time. Time to take in the vibe of a place, meet and talk to its inhabitants, process and then decide what is the most honest and respectful way to capture it and share this with the world. In addition to this, driving long distances, without taking adequate breaks, would take its toll on us and compromise our ability to stay healthy and produce good work. Thus, we have factored in rest days in order to sustain our energy (and sanity!). Mon, Dec 19 2016 2:48 pm EST ?  ']"
168,368,['   ']
169,369,['   ']
170,370,['   ']
