,index,faq
0,2500,['   ']
1,2501,['   ']
2,2502,"[' Why should I buy on Kickstarter? Tue, Oct 15 2019 9:24 pm EDT How do I choose colour and size? You could choose after the campaign ends.  Once it ends, a survey will be sent for you to fill out your preferred rewards, colour, size, shipping address and more. Tue, Oct 15 2019 9:24 pm EDT Where do you deliver? Tue, Oct 15 2019 9:24 pm EDT Can I order more than one hoodie sweater? Tue, Oct 15 2019 9:24 pm EDT What colourways are currently available? Tue, Oct 15 2019 9:24 pm EDT What happens if the hoodie does not fit or I have the wrong size? Tue, Oct 15 2019 9:24 pm EDT When will I get my hoodie sweaters? The Eco Innovative Hoodie Sweaters are set to ship in January 2020.  Depending on your survey number, you will get them sometime between January to February.  Please note that this is an estimate, as pre-ordering and production delays could arise.  We will keep you updated of the whole production status.  Thank you for your consideration. Tue, Oct 15 2019 9:24 pm EDT Why is it going to take so long to delivery? Tue, Oct 15 2019 9:24 pm EDT What is your size range? Tue, Oct 15 2019 9:24 pm EDT What inspired you for your design? It is such a great question.  Although Gary has been working at knitwear factory for years, he also has a background of environmental engineering.  The design concept is initially inspired by the father of sustainable architect, Frank Lloyd Wright, that focus on the nature of environment, needs of customers, and nature of materials before designing a style.  We are not making trendy styles that last for only one season, but creating quality garments with innovative design details, essential functions, and comfort that you could wear for season after season. Tue, Oct 15 2019 9:24 pm EDT What is the yarn fiber? Tue, Oct 15 2019 9:24 pm EDT Where is this hoodie sweater made? Tue, Oct 15 2019 9:24 pm EDT What informs your pricing? Our Eco Innovative Hoodie Sweater is priced based on below factors: Tue, Oct 15 2019 9:24 pm EDT How to make a hoodie sweater? Making a sweater is complicated and involved in various knowledge and techniques.  Generally, our knitted hoodie sweater is completed in five processes of knitting, linking, stitching, pressing, and checking.  But before these five process, the knitting experts and professionals need to study the yarn character, make trial swatches, and generating formulas for computerized knitting machine.  Every steps are important and well accomplished by experienced and professional artisans. Tue, Oct 15 2019 9:24 pm EDT Will you be making other products? Absolutely yes!  We will be launching more innovative and sustainable styles for your essential wear.  Please follow us on Facebook and Instagram and stay up to date! Tue, Oct 15 2019 9:24 pm EDT How did you come up with the brand name APZC Applied Zcience? Great question!  Founder of APZC, Gary Mok, studied at the Department of Applied Science in University of British Columbia in Vancouver.  The brand name Applied Zcience is where it came from the name of the Department.  With the background of environmental engineering, Gary continues to keep in mind that his brand is committed to not only making new clothes for customers, but to make them environmentally and ethically. Tue, Oct 15 2019 9:24 pm EDT ?  ']"
3,2503,['   ']
4,2504,"["" What made you think if ever using clothespins? It all started in 2002 when I made a dress out of clothespins for my best friend. Lacking time, funds and any knowledge about making clothing, I went to a Dollar Store in Miami Beach and that was it. Sort of a joke, in turned into an ongoing series of art that does not seem to have a end. Thu, Mar 21 2013 3:53 pm EDT How long does it take to make something like this? That is hard to judge. Needless to say, I have become very fast through the years but still, it is labor intensive and requires of my natural patience. The most tedious part of the process is drilling 2 holes on each of the thousands of clothespins. No one seems to be as fast as I, thus I do it all myself. Then I create sections that are later connected and so forth. In between I work on other things, sculptures, paintings or house chores as needed. This particular project has very little time to complete and ship to the location so I will be testing all that I have learned in the past few years. The installation is always the most exciting and rewarding part of the project, making it all worth it. Thu, Mar 21 2013 3:53 pm EDT What is the largest piece you ever made out of clothespins? Not large in size but in numbers, the one I did for SCULPTED GREEN exhibition at the City of Bellevue WA City Hall in 2008. It was made of about 12 thousand wood clothespins. Largest in size, the one at The Hive dinning hall at the Savannah College of Art & Design with a combined length of over 60'. In the near future I hope to either get a grant or a Public Art Commission that will allow me to create the largest one so far, and possibly be able to included it in the Guinness Book of records... why not, right? Thu, Mar 21 2013 3:53 pm EDT ?  ""]"
5,2505,['   ']
6,2506,"[' This campaign ends the day before the Pre-release Screening.  How will my name be in the credits? The pre-release screening will be very close to the finished product, but we will be making tweaks and adjustments every single day right up until the issues go live.  By the time of the official premiere, your name will be right up there in the credits with all of the other last-minute fiddling we intend to do. If you have your heart set on seeing your name in the credits at the pre-release screening, we will be doing the render for the show on Monday, April 9th,  All backers at the time of the render will be listed in the pre-release credits! Wed, Mar 28 2012 9:05 pm EDT ?  ']"
7,2507,['   ']
8,2508,['   ']
9,2509,"["" This is awesome, what is the book called? The book is called Just Make It : A Simple Guide To Help Make Making Easier Tue, May 17 2016 4:54 pm EDT Ah wow, how much is it? It's only £5 GBP plus shipping, or you can come pick it up. Make sure you bring some cake and we can have some tea too. Tue, May 17 2016 4:54 pm EDT Can I get a copy? Sure, just sign up here and back this campaign for £5 or more and I'll send you a copy next month. Tue, May 17 2016 4:54 pm EDT Is there pretty pictures in it? Yes, lots of pretty pictures of me and my cat :D Tue, May 17 2016 4:54 pm EDT What's your cats name? Charlie <3 Tue, May 17 2016 4:54 pm EDT Will you draw a willy in my copy of the book, even though you said you won't. Of course, but don't tell anyone or they'll all want one :D Wed, May 18 2016 4:57 am EDT ?  ""]"
10,2510,['   ']
11,2511,['   ']
12,2512,"["" Can I change my pledge and add more pins? Yes! You can change your pledge anytime up until the campaign closes. You can add more pins to your pledge at any time. Sun, May 13 2018 12:34 pm EDT I have an early bird special, how do I add more pins without losing my early bird discount? (Add on pins and Baby Moon Kitty have different prices. Message me for details on how to add them to your pledge) This can be really confusing, if you're not sure, message me! I am happy to help you with managing your pledge! Sun, May 13 2018 12:42 pm EDT What is an early bird tier? Early bird tiers are limited discount tiers that help fund the project quickly, giving us a better chance at unlocking stretch goals. These tiers offer a discount on the pins, making them $12 each, rather than the Kickstarter special price of $13 or the retail price the pins will be at my website of $14. Sun, May 13 2018 12:44 pm EDT ?  ""]"
13,2513,['   ']
14,2514,['   ']
15,2515,['   ']
16,2516,['   ']
17,2517,"["" Who made that wonderful song you guys used in the video? The Ukulele Teacher.  Here's a link to his youtube channel: https://www.youtube.com/user/TheUkuleleTeacher And to the song on itunes: http://bit.ly/1n9ig4K Wed, Sep 24 2014 1:42 pm EDT ?  ""]"
18,2518,"[' How does a journalist transform an interview--new or old? •\tA raw digital interview is easily uploaded to our storage cloud--or we can digitize old school cassette tapes. It’s easy! •\tOur public radio-seasoned producers cull the interviews for remarkable outtakes •\tThen we pepper these conversations with music and narration and voila: a new episode of the Blank on Blank podcast and radio series is born. •\tThey’re usually around 4 or 5 minutes--perfect for radio, mobile, and online listeners •\tFinally we work with animators, graphic artists, and filmmakers to bring these audio pieces to life as video shorts. Sat, Jun 16 2012 1:37 pm EDT Who is on the Board of Directors? David Gerlach Anuj Desai has served as editor in chief of Black Book magazine and the deputy editor of Plenty magazine. His writing has appeared in Bookforum, Dwell, Elle, ESPN magazine, Newsweek International, Slate, and The New York Times. Erik Langner is director of acquisitions of http://www.publicradiocapital.org/, a non-profit organization focused on strengthening and expanding noncommercial media. Matt McDonagh is National Sales Director at the http://www.theonion.com/content/index and AV Club, and has helped build the business behind the newspaper and the recently launched web site. Matt helped launch the Peabody Award Winning Onion News Network. Randy Shapiro presently serves as Vice President and General Counsel to The Newsweek/Daily Beast Company. She oversees all legal matters affecting the magazine and its companion Web site, The Daily Beast. James McIntyre is a Vice President in the Municipal Securities Division of Morgan Stanley, specializing in structuring tax-exempt financings for state and local governments throughout the country. Meet our advisory board @ http://blankonblank.org Sat, Jun 16 2012 3:13 am EDT How involved are journalists in the production process? We realize journalists have a million things going on, so we try to make this as easy and as effortless as possible. We welcome as much creative and editorial input as our contributors want/are able to give. Sometimes journalists provide us with a 45-minute interview and say: ""have at it."" Or maybe they point us towards a particular must-hear portion of the tape. We then cull through the material and turn into something new. During the production process we can share scripts and audio drafts. We also love to record a short interview with the journalist, so they can paint the picture of the interview, the scene, the backstory, etc. That is what makes these interviews, these voyeuristic sound bites, so different. Sat, Jun 16 2012 3:12 am EDT This sounds like a perfect opportunity for brands. Am I wrong? Nope. It\'s the perfect match. From sponsoring the entire Blank on Blank experience and content channels to backing creative contests involving rising animators, photographers, and filmmakers, we have some sweet possibilities. Let\'s talk. Email david at blankonblank dot org. Wed, Jun 20 2012 7:01 pm EDT ?  ']"
19,2519,['   ']
20,2520,"[' Who made your Dicebags? Excellent Question! They are being made just for this Kickstarter by - https://unrau.herokuapp.com/ Thu, Jul 6 2017 10:13 am EDT ?  ']"
21,2521,"["" What is the recommended age for MudWatt? MudWatt is designed for a wide range of ages, from elementary school to college and beyond. The more advanced the user, the deeper they dive into the awesome science that makes MudWatt work!   Little kids like playing with dirt (who doesn't?), whereas big kids can experiment with what beer is most powerful!  (the answer may surprise you) Mon, Mar 23 2015 9:38 pm EDT How long will the MudWatt last? The truth is we don't know...we've had one run for 3 YEARS already!  Once a MudWatt has developed a healthy community of electrogenic (electricity-generating) microbes, it will continue to produce power until you run out of nutrients. We've run the numbers, and power production could last decades as long as you keep your bacteria happy. Mon, Mar 23 2015 9:38 pm EDT How much power will my MudWatt produce? Your MudWatt's power output depends on what you feed it and the position of the electrodes - that's how you run experiments! We encourage users think about what microbes would like to eat and to design their own fuels using different soils and whatever they find in their fridge. With standard topsoils, typical power levels are around 100 microWatts, which is enough to power the LED, buzzer, clock, or other small gadgets. Mon, Mar 23 2015 9:38 pm EDT ?  ""]"
22,2522,"["" I'm new to Kickstarter. How do I add or manage my pledge with other items? Welcome to the Kickstarter. First you'll need to have selected a tier. When you are a confirmed backer, a button will appear at the top right of the project page 'MANAGE YOUR PLEDGE'. Tue, Apr 17 2018 8:07 am EDT How will you know what I added on in my pledge? At the end of the campaign, you will receive the survey which will detail all the information related to the product. Tue, Apr 17 2018 8:09 am EDT I want 2 different reward tiers. Do I have to pay double shipping? We don’t want you to pay double. To avoid being charged double on shipping, select (1) Reward tier and then go to the 'ADD ON' list to see the extra rewards you can add to your tier. Shipping will be included in these prices and will help reduce your shipping costs. Once you've confirmed a reward a button will appear at the top right of the project page 'MANAGE YOUR PLEDGE'. When you click ' MANAGE YOUR PLEDGE ', you'll be able to edit your pledge amount to include your extra items. Check on ADD ON list at the bottom of the project page to help you determine the right amount to add. Tue, Apr 17 2018 8:09 am EDT When will I be charged for my selected reward? The backers will be charged when the project reaches the funding deadline. Tue, Apr 17 2018 8:10 am EDT ?  ""]"
23,2523,['   ']
24,2524,['   ']
25,2525,['   ']
26,2526,"["" Who is LissommeX? LissommeX is creating a new generation of waist trainers that allows everyone to quickly require the healthy and sexy waist curves they desire; The company is created by a woman who is 38, a mom of two, enthusiast both in fashion and workout, and an expert in the waist training area. Sat, Feb 29 2020 9:49 am EST Where is LissommeX located? Mon, Feb 24 2020 12:17 pm EST What is your return policy? Please be aware that returns or refunds are not available on this Kickstarter campaign promotion Mon, Feb 24 2020 12:17 pm EST What is waist training? Waist training is a healthy process of shrinking your waist size by wearing a natural rubber latex waist trainer,. When wearing it daily, a waist trainer will gradually reshape your waist into an hourglass figure by compressing and repositioning your body fat. Also known as waist cinching, this practice came to prominence during Victorian times and has remained relevant because of it's proven results. They need to be worn 4-6 hours a day, and be very tight. The compression also reduces hunger since they are tight, and they help improve posture and back pain as well. In mordern days people inherited this technique but improved it to provide a more comfortable expereince. After 30 days you will notice a significant difference in your mid section. Our customers have dropped  2-3 dress sizes in this timeframe. Mon, Feb 24 2020 12:17 pm EST How do I choose the correct size waist trainer? The most reliable method to choosing the correct size waist trainer is to measure your waist right above your navel and refer to the size chart to find the corresponding size. You can also go by height/and weight, but keep in mind that this is a general method only since we all hold our weight differently. We recommend measuring. If you are in doubt, or between sizes, choose one size up. Our waist trainers are meant to fit very tight, and may need help getting it on the first time until it breaks in a bit. If you need help choosing a size, please email us at support@lissommex.com  or visit this page http://www.lissommex.com/index.php?route=information/information&information_id=9 Mon, Feb 24 2020 12:17 pm EST CanI wear it if I am allergic to rubber? Even though we use the best quality natural rubber in the market to reduce the risk of allergy. If you have been diagnosed with a rubber or latex allergy, we don’t recommend that you buy it Sat, Feb 29 2020 9:49 am EST Can I wear it for sports, fitness and everyday? Yes, LissommeX is suitable for three major use scenarios: daily wear can help correct posture and create an hourglass waist. Wearing it to protect your waist and abdomen when you workout. It can also be worn postpartum to help prevent internal organs from sagging. Mon, Feb 24 2020 12:17 pm EST What are the advantages of 15 strands? 9 strands focus on shaping, but they are prone to folds when worn for a long time, which affects comfort. 25 strands reduce wrinkles, but they are insufficient in shaping and the waist curve is not obvious enough. The 15 strands selected by Lissommex have better support and do not affect the comfort, less prone to wrinkles, better support in the front abdomen, and do not affect the hourglass effect. Sat, Feb 29 2020 9:49 am EST Will my chest be squeezed? No. LissommeX adopts a unique chest support design, and the unique chest curve design perfectly fits the chest shape. We calculated the perfect length- long enough to cover your skin, but not so long that it will poke into your chest. Sat, Feb 29 2020 9:49 am EST Do you feel stuffy when you wear it? No, our invisible mesh provides a vapor barrier, which allows sweat to wick away. Sat, Feb 29 2020 9:49 am EST ?  ""]"
27,2527,['   ']
28,2528,['   ']
29,2529,"["" Can I put Elephant Cuppa in the dishwasher? Yes, Elephant Cuppa is top rack dishwaser safe. Wed, Nov 18 2020 9:31 am EST What are the dimensions of Elephant Cuppa? Wed, Nov 18 2020 9:31 am EST How big is the tumbler opening? The diameter of the tumbler's body is 7.5cm for both 720ml & 520ml. Wed, Nov 18 2020 9:31 am EST How much does the tumbler weigh? The weight is 6.3 oz. (180g) & 5.2 oz. (150g) respectively for 24.3 fl.oz. (720ml) & 17.5 fl.oz. (520ml). Wed, Nov 18 2020 9:31 am EST Where will Elephant Cuppa be made? Elephant Cuppa is made in Taiwan. Wed, Nov 18 2020 9:31 am EST What material is Elephant Cuppa made from? Elephant Cuppa is made of Ecozen, a bio-based plastic material, that are BPA free, Shatter-resistant, durable, and light in weight! Wed, Nov 18 2020 9:31 am EST When will Elephant Cuppa ship? We are targeting March 2021 to begin shipping Elephant Cuppa to backers. Wed, Nov 18 2020 9:31 am EST Is there a warranty offered too? We will exchange for any defects within 7 days after customer receive their products. Wed, Nov 18 2020 9:31 am EST How can I contact Elephant Cuppa? For any questions, you can contact us through our facebook page, or email us at info@elephantcuppa.com Wed, Nov 18 2020 9:31 am EST How much is shipping? It depends on the reward you have selected and the country you are shipping it to. Please select your desired reward and shipping location to get the correct shipping fee. Wed, Nov 18 2020 9:31 am EST How do I select the color and size that I want? You can select your color and size of choice using a survey that we’ll send once the campaign ends. Wed, Nov 18 2020 9:31 am EST Will Elephant Cuppa fit in my cup holder? Elephant Cuppa's diameter is 3 inches that will fit in the most majority of cup holders. Wed, Nov 18 2020 9:31 am EST Can the Elephant Cuppa hold hot drinks? Wed, Nov 18 2020 9:31 am EST Is Elephant Cuppa BPA free? Yes, it's BPA free and food grade safe. Wed, Nov 18 2020 9:31 am EST Do you ship worldwide? We are happy to offer shipping worldwide. The shipping rate to your country will be indicated in the check-out menu when making a pledge for this campaign. Wed, Nov 18 2020 9:31 am EST What payment types will be accepted? All major credit cards are accepted by Kickstarter. If you're having trouble with making a payment, please contact Kickstarter support. They will help you out! Wed, Nov 18 2020 9:31 am EST ?  ""]"
30,2530,['   ']
31,2531,['   ']
32,2532,['   ']
33,2533,"[' What is the size of the cards? The cards are poker sized - 64 x 89 mm | 2.5 x 3.5 inches Wed, Oct 19 2016 10:53 am EDT ?  ']"
34,2534,['   ']
35,2535,['   ']
36,2536,['   ']
37,2537,['   ']
38,2538,['   ']
39,2539,['   ']
40,2540,['   ']
41,2541,['   ']
42,2542,['   ']
43,2543,['   ']
44,2544,"["" Is the game playable in English? Yes. While the game is based on francophone names and traditions, the entire packaging and rules are in both English and French. Fri, May 10 2019 3:58 pm EDT Je serai dans la région de Clare cet été. Est-ce que je peux ramasser mes copies en personne? Oui. Simplement sélectionnez l'option Copie locale / Local Pickup, et vous pourrez ramasser vos copies au Centre acadien de l'Université Sainte-Anne une fois que nous les recevons. Tue, May 14 2019 11:49 am EDT I'll be in the Clare region this summer. Can I pick up my copies in person? Yes. Simply choose the option Copie locale / Local Pickup, and your copies will be waiting for you at the Centre acadien, Université Sainte-Anne, when they arrive. Tue, May 14 2019 11:49 am EDT ?  ""]"
45,2545,['   ']
