,id,update,n_updates
0,1662798399,[],0
1,1316288919,[],0
2,818890122,[],0
3,1934517401,[],0
4,1449353867,[],0
5,2060806280,"[""UPDATE #2\nOne Week To Go!\nNo Man's Land Theatre CompanyCreator\nOctober 9, 2017\nHi everyone!\nFirst off, a huge thank-you to everyone who has donated so far. Receiving so much support means the world to us here at No Man's Land. Without you, this production would not be possible - and thanks to you, we've been able to go above and beyond what we initially had planned! Your generosity means we were able to add a third performance of Othello, which sold out in under an hour. \nRead more"", ""UPDATE #1\nProduction Updates\nNo Man's Land Theatre CompanyCreator\nSeptember 20, 2017\nWe are thrilled to have reached our initial goal so soon! Thank you to everyone who helped us get there. We still have a way to go with our fundraising in order to accommodate our production and the maximum number of audience members. We appreciate your continued support and are so grateful for any donation given. Further donations will be going towards space rental, costumes, and technical support, to give you all the best possible show. \nRead more""]",2
6,359411047,"['UPDATE #19\nPinned\nJan. Update\nAubry K.Creator\nJanuary 29, 2021\n\n\n\n\n\n\n\n\n\n937\nRead more', 'UPDATE #18Backers only\nAugust Update: Hot Girl Bummer\nAubry K.Creator\nAugust 31, 2020\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n751', 'UPDATE #17Backers only\nApril Update: COVID\nAubry K.Creator\nMay 2, 2020\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n428', ""UPDATE #16\nMarch Update: Ides of Development\nAubry K.Creator\nApril 1, 2020\nHi there everyone, we hope you've been safe given the Everything that's been going on. We have a small update that hopefully helps pep you up! \nHere's a preview of a new animated background! We're so excited to see the sea foam, eventually.\n125\nRead more"", 'UPDATE #15Backers only\nFebruary Update: The First Draft Update\nAubry K.Creator\nMarch 1, 2020\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n25', 'UPDATE #14Backers only\nJanuary Update: More animations! Backgrounds! Scripts!\nAubry K.Creator\nFebruary 1, 2020\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n424', 'UPDATE #13Backers only\nCameo Sprite Emails Sent!\nAubry K.Creator\nJanuary 18, 2020\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post', ""UPDATE #12Backers only\nNovember's Update: Animations\nAubry K.Creator\nDecember 2, 2019\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n429"", 'UPDATE #11Backers only\nSecond Demo is now up! + New Apparel\nAubry K.Creator\nOctober 31, 2019\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n1522', 'UPDATE #10Backers only\nOctober Update: Preparing the new Demo Launch + Music Preview\nAubry K.Creator\nOctober 5, 2019\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n20']",19
7,15031726,[],0
8,1601968864,[],0
9,1162663059,"['UPDATE #2\nFree the Nipple and Normalize Breastfeeding\nJessica BurnsCreator\nAugust 28, 2015\nI am involved in both the #freethenipple campaign and #normalizebreastfeeding campaign. I will be using my artwork to raise awareness for both of these movements. If you would like to get involved as well, please contact me! 9\nRead more', ""UPDATE #1\nNow offering Prints!\nJessica BurnsCreator\nAugust 28, 2015\nAlong with all of my original artwork, I am now offering prints! All prints will be limited edition and will be numbered and signed!!! Get your's today! \nwww.artbucketcreations.etsy.com\nRead more""]",2
10,906477612,"['UPDATE #1\nWe are almost there!\nTheatre ForeverCreator\nMarch 17, 2015\nThank you to everyone who has donated to our Kickstarter campaign! Your support means the world to us. We are entering tech this week at the Guthrie and are so very excited to share The Nature Crown with you!\nPlease help us reach our goal of raising $6,000 by sharing the kickstarter link on your social media pages and by sending emails to friends and families. \nRead more']",1
11,1177221773,"[""UPDATE #24\nHypno-Nightmare Issue #5: Old Hicks is on the way\nfunktoastCreator\nAugust 22, 2019\nHey all, \nShort of a couple of late comers (which I shipped today) you should have received your rewards for backing this kickstarter. I just wanted to let you know that if you liked the Hypno-Nightmares, I have decided to add Issue #5. It's called Old Hicks. These things were way more work than I anticipated so I decided to launch them 1 at a time from now on.\nRead more"", ""UPDATE #23\nHypno-Nightmares are In the Mail\nfunktoastCreator\nAugust 8, 2019\nGreetings backers,\nShort of 2 people who haven't filled out their surveys, I have dropped all of the Hypno-Nightmares in the mail. I will release the digital downloads in 1 week to allow the CDs time to arrive.\nAgain, thanks a ton for backing this project.\nRead more"", 'UPDATE #22\nCDs have Arrived\nfunktoastCreator\nAugust 6, 2019\nGreetings Beloved Backers,\nThe CDs have arrived. I have sent out surveys to those of you who backed this project at the CD level. I will ship the CDs, wait 1 week then send out the download links.\nLet me know what you think of these. If you dig them, I will do more.\nRead more', 'UPDATE #21\nHypno-Nightmares Become Reality\nfunktoastCreator\nAugust 3, 2019\nGreetings beloved backers,\nJust wanted to reach out to let you know that 2 of the 4 Hypno-Nightmares have come in. I now have in hand, #3 - Blood Moon Mania and #4 - Naked Feet.\nI am waiting for the other 2 to arrive. They should be in on Monday or Tuesday. I will ship these autographed CDs out and wait for a week or so before releasing the digital downloads. I want to make sure those who ordered CDs have them in hand before releasing the digital copies.\nRead more', ""UPDATE #20\nPRODUCTION FINISHED!\nfunktoastCreator\nJuly 24, 2019\nGreetings beloved backers,\nGreat news. I have finished production on all 4 hypno-nightmares. \nI have to say, this project has turned out to be WAAAAY more work than I expected in the beginning. At the inset, I expected to do 4 nightmares at about 30 minutes each. I learned I couldn't adequately tell the stories that needed to be told along with wiring in the inductions and awakenings so I expanded the project.\nRead more"", 'UPDATE #19\nNaked Feet • Excellent Progress\nfunktoastCreator\nJuly 16, 2019\nGreetings all,\nThe hypno-nightmare project commences with great rapidity. I finished recording the copy for Naked Feet. I am halfway through sound production (sound effects and sweetening). Meantime, here is a sneak preview of the cover.\nRead more', 'UPDATE #18\nIntroducing the Cover for Hypno-Nightmare Episode #1: Evil Exhumed\nfunktoastCreator\nJuly 13, 2019\nGreetings all,\nI have decided to release the Hypno-Nightmare CDs as episodes. Here is the cover layout for Episode #1: Evil Exhumed. I think you are going to dig these.\nRead more', 'UPDATE #17\nHypno-Nightmare 3 (of 4) is Complete\nfunktoastCreator\nJuly 10, 2019\nGreetings beloved backers,\nJust checking in to let you know that I finished Blood Moon Mania, the 3rd (of 4) hypno-nightmares this morning.\nI am now moving onto the last one, Naked Feet. I will revise the copy until it is perfect then go into recording. I am making quick progress on these. I should have them all done soon. After completing them, I will send them off for CD replication to get the collectible, autographed copies.\nRead more', 'UPDATE #16\nHypno-Nightmare 2 Finished\nfunktoastCreator\nJuly 8, 2019\nGreetings beloved backers,\nProduction of the 4 hypno-nightmares commences. I have finished scoring music for Evil Exhumed, the 2nd Hypno-NIghtmare.\nI am diving into music for Blood Moon Mania.\nThis project is getting closer every day.\nRead more', ""UPDATE #15\nMaking Excellent Progress\nfunktoastCreator\nJuly 2, 2019\nDear beloved backers,\nI spent the morning scoring music for the second (of 4) hypno-nightmares. This one is called Blood Moon Mania. I managed to compose the first 7 minutes of music. I'm working as hard as I can to get this project finished and out to you.\nAgain, thank you so much for your support on these hypno-nightmares. I've been listening to the first completed nightmare, Long Night of the Draugr. I can say first hand that I think you are going to love these.\nRead more""]",24
